name,code,Confirmed,Death
Afghanistan,AFG,145008,6515
Albania,ALB,132922,2456
Algeria,DZA,165204,4112
Andorra,AND,14586,127
Angola,AGO,42110,994
Antigua and Barbuda,ATG,1288,43
Argentina,ARG,4875927,104352
Armenia,ARM,229090,4597
Australia,AUS,33473,922
Austria,AUT,656949,10737
Azerbaijan,AZE,341183,5011
Bahamas,BHS,14252,284
Bahrain,BHR,268731,1383
Bangladesh,BGD,1194752,19779
Barbados,BRB,4359,48
Belarus,BLR,441881,3413
Belgium,BEL,1119030,25230
Belize,BLZ,13983,333
Benin,BEN,8324,107
Bhutan,BTN,2500,2
Bolivia,BOL,470024,17716
Bosnia and Herzegovina,BIH,205523,9686
Botswana,BWA,102124,1485
Brazil,BRA,19749073,551835
Brunei,BRN,333,3
Bulgaria,BGR,424079,18203
Burkina Faso,BFA,13556,169
Burma,MMR,279119,7845
Burundi,BDI,6573,8
Cambodia,KHM,74386,1324
Cameroon,CMR,82064,1334
Canada,CAN,1435403,26519
Central African Republic,CAF,7148,98
Chad,TCD,4971,174
Chile,CHL,1611090,35151
China,CHN,104800,4851
Colombia,COL,4747775,119482
Comoros,COM,4024,147
Congo (Brazzaville),COG,13156,177
Congo (Kinshasa),COD,48768,1023
Costa Rica,CRI,402044,4987
Cote d'Ivoire,CIV,49699,326
Croatia,HRV,362841,8247
Cuba,CUB,349055,2492
Cyprus,CYP,99360,410
Czechia,CZE,1672764,30362
Denmark,DNK,313922,2547
Djibouti,DJI,11640,155
Dominica,DMA,209,0
Dominican Republic,DOM,340498,3945
Ecuador,ECU,480720,30797
Egypt,EGY,284090,16498
El Salvador,SLV,85779,2577
Equatorial Guinea,GNQ,8880,123
Eritrea,ERI,6517,33
Estonia,EST,132717,1271
Ethiopia,ETH,278920,4374
Fiji,FJI,25139,206
Finland,FIN,103851,982
France,FRA,6088930,111883
Gabon,GAB,25344,163
Gambia,GMB,7333,208
Georgia,GEO,407689,5731
Germany,DEU,3766501,91592
Ghana,GHA,102103,823
Greece,GRC,482145,12887
Grenada,GRD,164,1
Guatemala,GTM,355223,10176
Guinea,GIN,25211,206
Guinea-Bissau,GNB,4281,74
Guyana,GUY,22234,530
Haiti,HTI,19918,535
Holy See,VAT,27,0
Honduras,HND,291687,7713
Hungary,HUN,809288,30021
Iceland,ISL,7428,30
India,IND,31440951,421382
Indonesia,IDN,3239936,86835
Iran,IRN,3758197,89479
Iraq,IRQ,1577013,18418
Ireland,IRL,295386,5026
Israel,ISR,864912,6461
Italy,ITA,4325046,127995
Jamaica,JAM,52141,1179
Japan,JPN,883767,15096
Jordan,JOR,767327,9979
Kazakhstan,KAZ,641388,5619
Kenya,KEN,198935,3882
"Korea, South",KOR,193427,2083
Kuwait,KWT,394538,2298
Kyrgyzstan,KGZ,159089,2275
Laos,LAO,5154,5
Latvia,LVA,138572,2552
Lebanon,LBN,557145,7895
Lesotho,LSO,12880,363
Liberia,LBR,5396,148
Libya,LBY,240309,3422
Liechtenstein,LIE,3080,59
Lithuania,LTU,281284,4411
Luxembourg,LUX,73637,822
Madagascar,MDG,42607,941
Malawi,MWI,49752,1540
Malaysia,MYS,1044071,8408
Maldives,MDV,76953,220
Mali,MLI,14551,531
Malta,MLT,33904,421
Mauritania,MRT,24349,542
Mauritius,MUS,3785,19
Mexico,MEX,2771846,239079
Moldova,MDA,258852,6247
Monaco,MCO,2814,33
Mongolia,MNG,160344,796
Montenegro,MNE,101352,1627
Morocco,MAR,588448,9638
Mozambique,MOZ,113426,1341
Namibia,NAM,117293,2871
Nepal,NPL,685673,9758
Netherlands,NLD,1880593,18090
New Zealand,NZL,3212,26
Nicaragua,NIC,9470,195
Niger,NER,5600,195
Nigeria,NGA,171728,2134
Norway,NOR,136370,799
Oman,OMN,295017,3788
Pakistan,PAK,1015827,23133
Panama,PAN,431554,6781
Papua New Guinea,PNG,17655,192
Paraguay,PRY,450494,14759
Peru,PER,2104394,195890
Philippines,PHL,1562420,27318
Poland,POL,2882327,75249
Portugal,PRT,956985,17307
Qatar,QAT,225522,600
Romania,ROU,1082551,34273
Russia,RUS,6094379,152836
Rwanda,RWA,66987,771
Saint Kitts and Nevis,KNA,578,3
Saint Lucia,LCA,5529,88
Saint Vincent and the Grenadines,VCT,2280,12
San Marino,SMR,5130,90
Sao Tome and Principe,STP,2424,41
Saudi Arabia,SAU,518143,8167
Senegal,SEN,58523,1300
Serbia,SRB,720643,7108
Seychelles,SYC,18062,90
Sierra Leone,SLE,6247,119
Singapore,SGP,64453,37
Slovakia,SVK,392406,12534
Slovenia,SVN,258780,4428
Somalia,SOM,15294,798
South Africa,ZAF,2391223,70338
Spain,ESP,4368453,81323
Sri Lanka,LKA,299892,4195
Sudan,SDN,37138,2776
Suriname,SUR,25028,638
Sweden,SWE,1098154,14655
Switzerland,CHE,715267,10903
Syria,SYR,25911,1909
Taiwan*,TWN,15599,787
Tajikistan,TJK,14761,119
Tanzania,TZA,509,21
Thailand,THA,526828,4264
Timor-Leste,TLS,10387,26
Togo,TGO,15292,148
Trinidad and Tobago,TTO,37771,1048
Tunisia,TUN,575002,18968
Turkey,TUR,5638178,51048
Uganda,UGA,92795,2590
Ukraine,UKR,2327777,55420
United Arab Emirates,ARE,674724,1929
United Kingdom,GBR,5771732,129591
Uruguay,URY,380793,5941
US,USA,34603919,611414
Uzbekistan,UZB,125784,845
Venezuela,VEN,301979,3524
Vietnam,VNM,117121,524
Western Sahara,ESH,316189,3600
Yemen,YEM,7022,1374
Zambia,ZMB,192956,3316
Zimbabwe,ZWE,101711,3280
